Geneid,tir1_d3_rep3,tir1_d3_rep1,tir1_d7_rep5,tir1_d7_rep4,tir1_d7_rep6,tir1_d3_rep4,tir1_d7_rep2,tir1_d7_rep1,tir1_d7_rep3,wt_d7_rep4,wt_d7_rep1,wt_d7_rep2,wt_d3_rep1,wt_d3_rep2,wt_d3_rep4,wt_d7_rep3
Gm18493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7488,52,54,64,49,58,77,66,55,54,64,60,51,47,56,89,63
Gm43160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17935,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
Gm31693,0,0,0,1,0,0,0,0,0,0,2,6,0,2,1,0
7530428D23Rik,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Gm43674,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
Gm43671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43672,592,627,403,423,296,172,130,429,410,361,768,358,540,469,504,389
Tbl1xr1,3643,4802,7196,4826,7207,4785,6078,7947,5753,3365,4357,3716,3394,3581,4451,7433
Gm5842,6,35,8,8,11,7,9,15,11,9,0,11,14,39,4,12
Rprl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38324,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37636,0,0,0,1,0,0,0,0,0,2,0,1,2,0,2,0
Gm26354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spin3-ps,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm37889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37492,0,0,0,0,0,0,0,0,0,0,41,0,0,0,8,0
4930412E21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naaladl2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gm7536,1775,1545,1052,1496,1444,1351,1245,1348,1295,1308,1461,1418,1977,2208,1620,1566
Gm24704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38002,0,0,0,0,0,19,0,0,0,0,56,0,0,0,0,0
Gm10259,4,3,4,2,2,9,5,0,3,2,1,2,2,3,2,3
Nlgn1,9,0,0,0,2,1,0,1,0,36,85,0,0,0,21,1
Gm37573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6197,0,2,1,0,0,1,1,0,0,3,2,0,0,1,0,0
A830092H15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spata16,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
Gm37659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7558,1,3,1,2,2,4,0,0,1,2,1,4,2,6,1,0
Ect2,179,9,846,311,917,458,443,293,565,491,199,249,349,145,163,296
Gm25152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700125G22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nceh1,1654,1637,2702,2247,2914,2066,2379,2529,2066,1849,2306,2376,2742,1547,1628,2746
Gm37191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnfsf10,1537,1622,2165,2589,1480,1725,1880,1445,2006,2409,1722,2053,2185,1236,1776,2546
Ghsr,0,0,0,0,0,0,0,0,0,0,115,0,0,0,3,0
Fndc3b,68,0,0,9,61,0,0,4,3,65,184,10,153,75,8,0
Gm43344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm26040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pld1,0,1,0,0,0,0,0,0,10,2,45,2,0,37,0,10
Gm42196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Gm37098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120615,7,15,1,8,15,22,8,19,0,1,16,15,2,10,1,8
Tnik,4216,5323,5065,4571,4214,3070,3229,4848,3024,3497,1757,3827,4141,3204,3015,5685
Gm37537,113,6,32,62,0,0,19,0,0,4,58,0,70,89,1,78
Mir466q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc2a2,13,0,0,65,55,11,0,0,0,5,8,39,0,26,0,0
1700112D23Rik,0,0,0,0,14,4,8,12,0,9,0,0,1,2,0,0
Gm6505,3,1,0,4,3,2,0,0,1,1,5,1,2,5,3,0
Eif5a2,560,915,1152,901,847,569,1129,667,1375,1239,735,520,731,716,1158,422
Gm32950,6,0,0,0,0,21,0,4,0,0,30,0,0,0,9,0
Rpl22l1,1418,1356,1770,2419,2445,1401,2129,1948,1762,1533,1150,1271,1602,1451,1731,1482
Gm33051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37924,121,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
Gm1527,0,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0
Egfem1,0,0,0,0,8,0,0,0,0,0,16,0,0,0,2,0
Gm38029,29,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
Gm37965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir551b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33206,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Mannr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37281,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mecom,8,1,0,0,4,0,0,0,0,13,52,49,2,0,18,1
Mecomos,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0
Gm38066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37652,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
Gm38258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telomerase-vert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actrt3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mynn,2581,3677,3880,3066,4045,2621,4243,3127,3662,4485,2073,2396,3146,2793,2454,3548
Lrrc34,0,16,0,0,0,0,0,3,0,2,94,1,0,0,0,0
Lrriq4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
Lrrc31,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0
Gm15462,35,0,0,0,1,1,0,0,0,0,26,0,0,0,5,0
Samd7,10,0,0,0,0,0,0,0,0,0,25,0,0,7,0,0
4933429H19Rik,18,61,32,20,38,0,22,16,14,22,6,38,42,14,20,56
Sec62,2325,541,5332,4152,4840,3957,3850,3637,3765,3265,2271,2669,2738,2593,3794,3674
Gm38080,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Gpr160,26,0,0,3,6,0,3,34,23,9,9,16,0,1,0,0
Phc3,1701,1812,2087,2142,2539,829,1830,2361,1670,1210,1187,1433,1082,1260,903,1952
9530022L04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2979,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Prkci,1245,1606,2319,1369,1634,1192,2468,2563,2035,2027,948,963,1010,963,977,1905
Mir7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120476,13,9,3,17,12,5,5,2,7,20,26,0,0,3,11,29
Skil,2125,4444,8731,5722,8076,5327,6000,7308,7924,5899,2866,5605,3900,1770,5575,11467
