,Celltype
tir1_d3_rep3,tir1_d3
tir1_d3_rep1,tir1_d3
tir1_d7_rep5,tir1_d7
tir1_d7_rep4,tir1_d7
tir1_d7_rep6,tir1_d7
tir1_d3_rep4,tir1_d3
tir1_d7_rep2,tir1_d7
tir1_d7_rep1,tir1_d7
tir1_d7_rep3,tir1_d7
wt_d7_rep4,wt_d7
wt_d7_rep1,wt_d7
wt_d7_rep2,wt_d7
wt_d3_rep1,wt_d3
wt_d3_rep2,wt_d3
wt_d3_rep4,wt_d3
wt_d7_rep3,wt_d7
