Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
4933401J01Rik,0,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,2,1,4,1,0,3,2,2,0,2,1,0,3,1,0
Gm18956,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm37180,0,2,1,0,1,1,2,2,0,0,0,1,0,2,0,0,0
Gm37363,3,4,4,3,2,5,3,9,3,1,5,3,3,9,7,4,3
Gm37686,2,5,1,0,4,1,2,2,2,2,2,6,0,1,2,3,1
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,1
Gm7341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm38148,4,0,1,2,3,0,0,0,1,3,1,1,3,0,1,0,1
Gm19938,17,12,12,14,9,10,13,11,14,13,14,14,13,12,8,12,10
Gm10568,20,15,25,19,12,11,8,8,10,10,9,9,12,15,10,14,9
Gm38385,2,6,3,1,1,1,3,4,0,2,0,1,1,4,4,1,1
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Rp1,6,6,4,6,4,2,3,7,5,4,3,3,4,3,6,2,1
Gm6101,0,1,1,3,0,2,1,0,1,2,0,0,1,1,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sox17,3,1,2,4,1,1,0,0,4,2,0,1,0,0,2,3,1
Gm37587,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gm7357,0,0,0,3,3,1,2,3,2,0,3,0,0,0,0,3,1
Gm22307,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm37323,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1
Gm7369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm6085,147,171,122,151,159,243,174,168,188,121,156,179,167,186,158,212,162
Gm6119,2,5,1,1,0,1,2,0,2,0,0,0,1,2,3,1,3
U6,134,99,94,73,109,64,67,82,84,117,105,81,56,76,95,137,115
Gm2053,0,0,0,0,15,0,0,1,2,1,0,0,0,0,1,0,0
Gm6123,56,56,27,27,21,22,19,19,22,33,55,20,22,20,29,48,19
Mrpl15,4566,4265,3715,4573,4694,3286,4073,4387,4446,4529,4338,3929,4494,4459,3887,4575,4688
Gm37144,83,77,116,140,136,154,107,208,166,185,138,105,139,158,138,168,134
ENSMUSG00000120403,31,13,22,6,16,22,7,6,13,11,50,2,18,39,31,44,10
Lypla1,6249,5851,6076,5362,5474,4433,4602,5064,4566,7313,5377,4947,5554,4517,4681,4673,6414
Gm37988,9,0,0,0,6,2,1,0,0,3,2,0,1,0,8,2,1
Tcea1,3846,3390,3129,3504,3037,3086,2257,3051,2373,3238,3582,2462,3235,3515,3621,2777,2830
Gm6104,1,3,3,8,13,7,4,7,8,11,13,13,9,5,15,7,6
Gm37277,32,1,4,4,0,3,34,4,4,9,18,0,14,1,4,2,13
Rgs20,12,4,1,7,6,2,2,0,2,4,7,6,4,6,5,4,6
Gm17100,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gm37079,0,1,1,0,1,1,0,1,0,2,1,2,2,1,0,2,1
Gm16041,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0
Gm17101,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Atp6v1h,4989,4801,5632,5109,4412,2847,3572,4493,4303,5271,4140,2921,4626,4746,3960,3527,4249
Gm7182,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Gm37567,1,1,2,3,0,1,2,1,0,3,1,1,1,0,2,0,0
Gm38264,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Oprk1,2,3,4,6,9,10,6,4,7,4,6,4,8,1,14,5,9
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,1,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
Npbwr1,2,1,1,3,3,2,1,1,1,0,3,2,0,3,0,1,2
Gm19214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4732440D04Rik,321,488,145,193,254,369,363,258,200,300,232,171,165,252,131,430,330
Rb1cc1,3705,4556,3918,3365,4447,4601,3205,2414,2063,2985,5222,4122,2600,2778,5676,3960,4557
Alkal1,1,2,0,3,2,0,0,2,1,3,1,0,1,0,1,1,1
Gm2147,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,3,4
Gm7417,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0
Gm19026,1,0,0,2,1,1,0,3,7,1,5,0,1,2,0,1,2
St18,9,10,10,9,7,7,11,12,10,12,14,12,3,7,7,8,13
Gm42492,0,1,6,1,1,3,1,1,0,2,2,1,0,0,0,2,1
Gm7449,0,1,2,1,0,0,1,0,4,0,4,2,1,3,3,3,2
Gm37108,556,506,238,300,363,412,426,422,522,418,347,339,333,436,381,329,382
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
ENSMUSG00000120372,224,178,117,196,120,92,257,122,134,188,52,113,156,232,108,35,200
Pcmtd1,1481,2988,2344,1642,2015,2836,2021,1352,1801,1899,2815,2139,1886,1619,2993,1928,2757
Gm26983,4,8,17,4,3,4,1,4,3,6,2,11,7,2,16,2,3
Gm38372,156,164,108,109,117,107,109,117,137,127,124,126,132,162,125,134,143
Gm9826,11,10,19,45,7,4,13,9,4,15,11,4,14,28,7,9,11
Nras-ps2,2,1,1,2,0,0,0,1,1,1,0,0,2,0,1,2,0
Gm23274,0,0,1,0,0,0,1,4,1,0,0,1,1,1,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,41,62,26,88,29,34,22,32,28,64,25,28,41,25,58,35,58
Gm18984,0,1,1,3,2,1,1,4,5,2,2,1,1,2,1,1,2
Gm30414,0,1,0,2,1,2,0,3,2,1,0,2,1,1,3,3,2
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1
Rps2-ps2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Gm38216,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Sntg1,29,39,39,38,33,22,24,43,44,38,37,32,27,32,42,25,21
Gm38024,14,14,11,15,11,12,8,8,6,14,12,13,13,14,11,11,10
Gm16284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Gm38259,15,12,12,15,8,8,10,24,13,25,19,12,13,18,23,14,8
ENSMUSG00002074990,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm37005,1,3,5,3,2,3,3,7,4,6,5,2,6,5,5,4,1
Gm15452,16,9,37,23,19,6,10,45,5,70,10,4,32,38,15,9,3
Gm36964,9,8,5,4,5,6,2,2,8,8,1,6,1,5,6,7,6
ENSMUSG00002075967,11,12,5,6,13,19,15,26,20,11,13,7,8,16,13,10,12
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm7493,1,2,1,1,1,2,1,1,2,3,1,1,0,0,0,0,1
Gm37629,2,5,3,6,1,2,2,3,3,0,4,2,3,6,3,6,2
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,2,0,2,5,3,2,2,2,2,3,6,2,2,1,32,3,4
Gm6187,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gm18299,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm7512,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Rrs1,2029,3053,2563,1729,1458,1853,2314,1096,2539,1859,2470,1810,2078,1872,1909,1372,2241
Adhfe1,5,1,0,1,1,0,0,1,26,1,0,1,2,2,5,0,2
2610203C22Rik,0,6,0,3,2,1,15,5,3,6,1,4,1,2,4,5,1
Gm6161,6,6,8,8,12,9,7,16,5,4,5,8,7,2,5,5,9
Vxn,1,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
Gm29520,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0
Mybl1,9,2,17,8,8,11,4,4,3,18,9,4,50,12,18,6,6
Vcpip1,1986,2082,2480,1863,1477,2319,1652,1496,1580,1309,1328,1779,1773,1660,2071,2199,3255
1700034P13Rik,5,1,2,12,7,1,2,6,4,4,3,1,2,18,5,1,6
Sgk3,2536,2310,589,756,2606,2164,2269,465,2307,400,2200,3036,677,593,3152,2214,2618
Gm6195,5,0,1,1,2,0,0,5,7,4,4,1,4,1,5,7,4
Snhg6,682,501,273,412,499,522,611,567,788,616,812,559,373,437,603,567,473
Mcmdc2,108,99,69,80,73,53,37,66,99,80,78,71,61,61,51,72,73
Snord87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf24,4,4,5,1,8,4,8,5,6,5,2,5,6,3,9,4,1
E330040D14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r42,1,2,3,1,0,0,2,0,1,1,0,1,0,1,3,0,0
Gm15818,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000121270,1,1,3,1,1,3,2,0,2,3,2,1,1,0,1,1,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,2692,2795,2724,3142,3498,2861,2819,2568,2979,3650,3274,3067,2719,2430,3736,3151,3058
Cspp1,882,1028,681,716,1551,1298,714,1035,676,1148,1287,716,741,823,1346,1353,714
1700047N06Rik,0,0,0,0,0,0,1,0,0,23,0,0,0,6,0,1,0
Arfgef1,4530,3848,5046,3809,3919,2373,3164,2905,2387,3859,4044,3148,3210,3735,3920,3078,5053
7SK,238,168,178,190,200,178,104,110,112,151,204,198,175,175,181,232,141
Gm37569,6,8,2,37,45,11,20,5,55,2,5,4,25,27,14,43,14
Cpa6,5,1,1,3,2,0,1,1,5,1,1,1,0,4,2,1,0
Gm38005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm15604,1,0,1,1,4,0,0,1,0,0,1,1,0,0,2,3,0
Gm25253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15603,8,5,1,12,4,6,2,7,9,9,5,6,1,4,19,11,3
Gm37133,0,1,0,0,0,2,0,2,1,1,0,0,1,1,1,0,3
Gm5522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28659,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
SNORA66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prex2,28,12,25,26,24,22,25,40,32,27,63,37,24,29,41,26,37
Gm24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28686,0,2,2,0,0,0,0,2,0,0,2,2,1,1,0,0,0
Gm37410,4,0,3,2,1,0,3,4,0,2,2,1,0,3,2,5,2
A830018L16Rik,13,11,8,7,11,7,4,7,10,7,8,10,11,7,11,8,9
Gm38178,24,35,30,36,39,38,22,49,32,33,23,27,31,42,40,28,42
Gm29273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38069,1,1,1,4,1,3,0,4,2,0,1,1,1,0,1,2,0
Gm7560,0,2,1,0,1,0,2,2,1,2,0,0,5,2,1,1,3
Gm22633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2383,2,0,2,3,0,0,0,1,0,1,0,0,3,1,0,3,0
Gm6216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,4,1,2,2,3,2,0,2,2,2,1,0,4,1,2,2,3
Gm29663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,0,1,3,0,2,2,0,0,0,1,64,2,1,0,3,3,4
Slco5a1,5,1,4,4,2,3,1,83,2,1,1,0,0,33,1,0,3
Gm37162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdm14,2,0,14,0,2,1,0,2,1,0,1,1,0,46,3,0,0
Ncoa2,1527,1699,2154,1266,1837,1983,1436,1262,1536,847,2493,2230,1445,1705,1851,2161,1711
Gm38376,25,79,111,23,127,13,43,14,54,49,79,170,48,57,82,196,14
Gm37409,0,0,0,0,28,0,1,36,17,1,4,0,0,4,2,0,2
ENSMUSG00002076346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm38223,3,10,0,0,7,13,1,0,7,14,0,0,1,2,9,3,8
Gm37702,0,3,1,1,5,0,1,0,1,1,4,2,1,2,3,3,2
Gm23169,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0
Gm38120,101,93,117,109,85,126,62,89,110,90,71,117,61,86,127,93,83
Gm38380,23,48,19,31,111,137,18,132,22,38,123,124,67,40,62,66,92
Gm29570,3,5,6,3,15,3,1,0,1,1,0,1,2,2,1,0,1
Gm7593,4,8,6,8,2,2,6,7,7,1,7,8,4,6,1,5,6
Tram1,25352,18271,17775,18623,18528,17003,16041,14994,16868,23333,20694,19692,18812,18240,21551,16675,20966
ENSMUSG00000120948,20,9,19,9,9,21,16,17,40,8,6,1,29,43,14,18,17
Lactb2,973,1093,840,537,967,1097,889,598,1208,827,1131,1127,874,895,1088,1153,1241
Gm38319,16,12,16,13,14,4,6,12,21,10,10,69,8,43,65,38,20
Xkr9,3,2,1,5,1,6,0,2,1,3,1,50,7,1,5,1,1
Gm26273,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Gm5523,70,53,60,111,50,17,34,42,40,62,27,45,37,54,45,33,40
Gm36947,0,0,0,0,0,1,1,0,0,1,2,0,1,0,1,0,0
Gm37400,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0
Eya1,4,1,5,11,1,4,4,5,3,7,6,4,3,3,8,2,3
ENSMUSG00002075819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37444,9,14,11,13,10,9,3,6,11,19,13,11,8,20,14,7,13
Gm9947,1,1,2,0,0,0,1,2,2,2,0,1,1,0,0,0,0
Msc,9,11,35,42,12,4,13,7,10,57,16,8,45,5,5,7,10
Gm37412,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
Smt3h2-ps4,7,5,11,17,13,15,8,8,14,7,6,8,13,5,8,15,3
Rpl5-ps1,171,142,75,101,162,132,151,142,218,133,112,135,140,149,126,127,153
Trpa1,3,0,1,0,0,1,0,1,2,0,1,1,0,1,0,2,0
Gm26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10566,31,29,19,26,25,9,21,27,23,38,14,19,21,29,22,10,17
Kcnb2,11,7,5,11,8,7,5,7,5,3,6,9,5,7,8,6,4
Gm38116,7,5,0,1,0,3,3,3,5,4,2,4,3,2,2,3,5
Gm37138,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Gm25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6060,0,0,1,1,1,0,4,0,2,1,1,1,1,2,0,1,0
Gm28669,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terf1,2359,1315,2072,1790,1710,1798,1855,1947,1881,1717,2058,1899,2148,1431,2166,2440,1858
Gm37509,0,0,0,1,3,0,0,2,0,0,0,0,0,1,0,1,2
Sbspon,0,0,0,0,0,0,2,12,25,0,0,18,0,0,21,20,0
Gm7634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4930444P10Rik,5,4,2,0,2,0,3,2,1,4,1,3,0,2,1,0,1
Rpl7,25019,23277,14620,16831,22205,21414,25574,22081,28416,22325,23594,20820,18099,21009,21079,20511,22889
Rdh10,250,118,96,312,244,232,258,121,70,363,314,131,226,374,174,275,226
Gm38249,2,0,2,2,2,0,1,1,2,3,0,3,0,0,3,0,1
Gm28095,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Stau2,73,9,33,21,15,47,33,3,12,84,23,1,64,29,50,83,105
Gm7568,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ube2w,2553,1805,1791,1633,2267,1803,1979,1090,1776,1975,2189,1821,1718,1827,2509,2234,2300
Gm38342,0,4,37,3,58,88,34,47,35,9,6,91,18,21,73,14,20
Eloc,5137,5011,4737,4810,4955,4741,4203,5601,5295,6406,4959,4502,4869,5169,4638,4727,4952
D030040B21Rik,31,36,21,28,24,18,17,24,23,47,23,25,31,26,26,24,26
Idi1-ps5,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0
Tmem70,2523,2181,2204,2013,2602,2856,2498,2778,2441,2658,2756,2368,2236,2721,2727,2125,2587
Ly96,222,234,560,486,212,162,160,704,249,678,117,206,542,725,110,165,254
Gm29649,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Gm5828,5,4,6,5,9,4,2,4,16,8,4,2,10,2,6,8,12
Gm28376,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
4921511E07Rik,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jph1,9,11,12,7,10,8,3,7,7,7,5,9,7,9,7,7,4
Gm28783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdap1,18,10,19,16,5,7,7,14,19,10,11,12,32,13,21,9,7
Gm28784,0,4,3,2,2,7,4,6,3,5,4,2,2,3,4,4,3
Gm28785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5251,0,1,0,0,0,1,4,0,0,1,1,1,0,1,0,0,0
Rbm6-ps1,4,8,2,4,2,8,1,1,0,2,4,1,3,2,5,2,2
Gm6075,0,1,1,0,1,0,0,2,4,3,1,1,1,1,0,0,0
Gm25166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Pi15,45,37,34,43,32,35,32,32,38,44,35,44,39,41,44,23,46
Gm28154,3,9,9,5,4,5,3,3,7,10,8,9,5,8,4,7,1
Gm16070,20,16,14,19,7,10,8,12,15,13,15,16,10,9,18,16,13
Crispld1,2,0,0,1,0,0,3,3,1,1,2,0,2,0,1,2,0
Gm28153,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0
Gm7690,0,0,1,0,1,0,2,1,0,2,1,0,2,0,2,1,0
Gm18775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17969,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Gm28756,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gm28755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm45784,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Crisp4,9,10,10,15,13,5,3,8,20,13,9,8,8,10,16,12,4
Defb44-ps,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm17837,0,1,1,2,3,0,0,2,0,1,4,1,1,0,0,0,0
Gm5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm28344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2d,5,4,4,2,3,2,0,2,1,4,3,3,3,6,2,3,0
Gm10075,66,47,57,79,45,44,39,80,47,92,45,46,57,60,60,60,46
Tfap2b,21,20,27,28,8,21,7,12,9,11,13,23,19,16,24,16,17
Gm28340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4849,1,0,0,2,0,1,1,0,0,0,0,0,1,4,1,0,0
SNORD29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38382,3,3,2,1,2,1,2,1,2,1,0,0,1,2,0,0,3
Pkhd1,4,9,1,5,6,4,1,8,7,5,6,5,6,5,19,2,1
Gm37315,1,0,0,1,0,0,1,2,2,0,0,1,3,2,0,0,2
4930486I03Rik,2,2,3,2,1,3,2,1,2,2,4,2,2,3,3,2,3
Gm15795,21,16,11,18,12,20,8,16,20,17,7,13,9,20,11,20,11
Gm24162,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2,0,1
Lincmd1,3,5,5,3,0,1,5,7,6,1,1,2,3,3,4,2,2
Mir206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,1,5,1967,1151,7,4,2,758,2,6784,2,1,6368,5027,1,1,5
Il17f,25,2,1550,114,1,8,3,159,32,6410,4,2,5351,2046,1,0,3
Mcm3,2518,3262,6020,5595,4637,2289,2114,2487,2456,4763,3583,1679,4728,3693,3612,1966,3774
Gm20587,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1
Gm28065,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Gm24723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6720483E21Rik,7,7,9,7,5,11,5,8,20,16,6,56,11,3,6,10,7
Paqr8,82,454,543,321,126,229,94,209,221,789,72,271,637,200,326,243,263
Gm24171,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efhc1,9,29,1,0,1,3,0,76,5,4,0,2,1,31,0,0,10
Tram2,253,476,223,73,284,320,174,285,156,220,277,361,289,140,545,344,323
Gm28287,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Gm2693,0,2,0,1,2,3,2,0,0,0,3,0,3,0,20,13,8
Tmem14a,146,57,198,262,142,174,134,148,101,336,178,163,70,144,71,128,71
Gm38224,98,86,22,26,72,70,76,43,77,33,50,44,23,26,56,70,89
Gsta3,29,73,37,40,130,38,49,93,53,39,88,95,60,40,119,156,25
Gm28836,66,68,131,186,148,160,83,170,95,50,168,231,94,78,180,312,29
Gm7094,0,1,1,1,1,0,1,0,3,4,1,8,5,1,5,1,2
Gm4956,13334,11544,3468,3247,14011,12723,13716,3784,12649,3413,16994,12079,2124,3405,11383,16299,12680
Gm21909,83,96,9,14,158,184,98,3,67,12,234,164,7,18,233,192,117
Khdc1a,43,43,6,5,20,21,66,8,82,6,19,27,6,14,43,29,66
Gm16329,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16327,0,0,0,0,0,0,20,2,6,0,1,0,0,0,0,0,23
Khdc1c,15,13,20,21,15,30,7,12,18,21,18,15,14,23,15,14,13
Gm2709,0,0,2,0,0,2,1,1,2,1,1,0,0,1,0,0,0
Gm16533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,10,6,5,9,1,7,8,6,7,11,9,6,3,13,9,2,9
Gm16328,11,3,0,2,2,2,11,1,1,0,1,5,2,6,2,0,2
Kcnq5,211,321,224,142,358,239,179,202,290,121,400,92,197,335,101,146,237
Gm36949,3,1,2,2,2,4,49,2,2,2,14,1,0,1,1,4,1
Gm7658,161,97,65,93,104,112,103,159,107,110,75,88,112,112,91,124,93
Gm38243,0,17,1,23,30,5,25,1,4,0,0,0,0,0,0,0,0
Gm5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm28239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rims1,2,1,0,1,0,5,0,0,0,2,1,1,1,2,3,1,1
Gm26866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7761,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Gm29506,1,2,2,4,0,1,1,2,2,2,0,0,0,2,1,1,2
Ppp1r14bl,3,4,4,3,0,1,0,5,0,1,0,0,1,3,1,0,3
Gm24176,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
Gm6420,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29107,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3
Gm20954,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ogfrl1,234,122,228,312,165,38,213,304,174,456,83,95,274,221,193,51,164
Gm7784,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Gm28822,0,0,0,1,1,4,1,0,1,0,1,1,1,1,2,4,1
B3gat2,14,22,108,41,89,155,38,18,45,101,15,12,48,71,11,22,55
Smap1,3603,3361,4287,3841,3614,3687,3317,6101,3750,6353,3758,3545,4778,5151,4023,3910,3464
Sdhaf4,1700,1464,1112,1383,1762,1859,1379,2343,1729,1918,1756,1973,1375,1479,1688,1950,1503
Gm26524,0,0,0,1,0,0,2,0,3,0,5,0,0,0,0,5,0
Fam135a,11,8,8,38,7,11,11,12,21,11,10,10,10,17,19,8,12
Gm37580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
Col19a1,9,14,4,21,11,7,10,17,6,16,12,11,11,7,15,7,10
Gm26418,1,2,2,4,0,1,2,2,0,0,0,2,0,2,1,3,2
Tubb4b-ps2,37,33,15,23,17,25,16,35,17,33,16,27,14,28,18,26,17
Gm28439,424,397,298,229,341,349,302,402,419,482,345,408,347,401,310,362,340
Gm10222,29,36,17,16,24,19,17,32,43,44,14,15,33,32,30,16,16
