Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
Trappc3l,3,0,0,3,23,3,0,1,0,0,1,1,0,0,0,1,1
Calhm4,3,0,2,3,1,5,4,6,1,6,0,3,7,0,2,4,2
Calhm5,11,8,4,7,6,14,6,9,11,9,3,5,4,3,5,7,8
Calhm6,2605,1845,769,1278,1349,1273,2177,1110,2439,1042,1812,1292,717,1017,1558,1658,2080
Dse,167,117,25,105,144,219,393,9,378,353,353,364,136,191,196,95,469
Gm47445,28,5,2,5,8,0,3,5,1,4,31,2,27,11,38,4,20
Gm18346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26564,13,0,0,0,1,0,6,0,1,0,9,12,0,0,17,18,0
Gm47485,3,3,2,4,1,1,1,3,1,5,1,1,0,1,4,1,1
Tspyl1,4030,3371,3936,3975,3671,3087,2809,3182,2542,3965,4379,3378,3092,3144,4782,3377,4064
Nt5dc1,3749,3410,2742,4039,3867,3932,3051,3080,3162,2933,3627,3131,3059,3332,3388,2846,3746
Gm47508,74,45,51,52,87,74,88,58,84,59,54,135,42,58,100,101,60
Gm47512,25,92,8,0,4,14,6,82,33,98,1,1,16,54,5,56,36
Tspyl4,456,230,347,360,363,176,85,279,263,430,577,638,330,194,230,369,408
Col10a1,4,1,1,3,4,1,5,1,20,25,0,1,17,30,1,7,24
Frk,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,56,0
Gm18252,7,9,8,9,7,5,10,10,14,10,9,8,13,13,16,9,5
Gm8834,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm26341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18729,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1700054O05Rik,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Amd2,193,214,181,193,319,371,171,285,196,252,283,373,179,206,303,394,226
Gm40623,3,1,0,1,1,1,2,0,1,3,0,1,0,1,0,1,1
Gm47046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47048,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
Gm47049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hs3st5,2,0,1,1,0,1,3,4,0,0,0,0,1,0,3,0,1
Gm47054,2,1,1,0,0,0,1,2,0,1,2,2,0,1,4,3,0
Gm22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hdac2,5671,5933,3931,4698,7877,6145,5628,3302,4856,3674,7682,6909,5128,4202,9369,6181,6848
Gm38231,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Marcks,44,144,1955,2779,1817,1279,177,1419,50,1171,1395,1442,1028,510,2566,1458,165
ENSMUSG00000120261,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5930403N24Rik,0,1,6,3,2,5,0,3,1,3,4,1,1,4,5,4,0
4930543K20Rik,9,0,1,3,0,1,0,1,0,0,0,2,1,0,0,0,0
Gm26535,35,22,19,28,17,20,15,21,11,19,26,20,14,17,16,10,17
Gm48172,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ENSMUSG00002076892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930591E09Rik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm48197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rfpl4b,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Gm17779,7,2,2,4,10,6,13,10,7,6,9,3,1,5,5,5,2
Lama4,6,4,3,7,6,6,3,2,5,2,2,7,4,4,3,7,9
Fam229b,1,13,84,14,6,1,1,73,2,33,3,0,44,65,38,0,1
Tube1,258,172,917,842,349,425,385,655,347,849,307,528,735,479,838,194,371
Ccn6,11,0,2,11,4,0,0,0,2,15,0,0,20,16,0,5,9
D030034A15Rik,1,2,3,11,12,2,12,14,14,2,7,2,5,20,0,1,8
Gm6477,57,38,35,54,46,40,58,52,70,51,41,40,72,61,42,54,45
Gm31562,2,1,0,5,1,0,0,1,0,1,1,1,0,0,0,0,4
Gm48486,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm31616,101,15,58,81,90,78,96,99,87,130,58,41,103,85,60,92,88
Fyn,26578,27386,31482,27468,29521,23452,23030,17511,21512,19989,31188,24158,27500,24293,33730,24550,30122
Gm6963,0,0,0,3,2,0,0,1,0,3,0,0,0,0,0,1,0
Gm16364,19,23,2,74,22,22,19,44,38,23,48,22,23,36,31,13,19
Traf3ip2,1645,1769,2302,2306,826,800,1834,1662,1489,2111,1685,739,2205,2493,1143,1001,1841
E130307A14Rik,578,658,629,1125,1355,1301,511,688,533,696,1290,1534,744,676,2173,939,1039
2900078I11Rik,0,0,0,2,0,0,0,24,1,0,19,0,0,0,0,0,16
Gm8899,48,21,5,32,18,4,2,19,10,33,23,50,48,3,1,30,37
