"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 159.128068917492 -0.302705521053138 0.312031383155812 -0.970112422640459 0.331990457520984 NA
"U6" 117.058247690034 -0.787000901897567 0.568735810302185 -1.3837723731154 0.166428164892151 NA
"Gm6123" 33.6024303580994 0.117797939834939 0.574701336575054 0.204972448014404 0.837593651284923 NA
"Mrpl15" 7464.18872372676 0.0666211374165233 0.0925052011726968 0.720188017235368 0.471409240708572 0.687715493655816
"Lypla1" 10118.4759694339 0.10892685996988 0.115675390021023 0.941659759695498 0.346366863423383 0.583596370034536
"Tcea1" 7999.35697804047 0.207936810982324 0.114951859051453 1.80890342007649 0.0704660089983993 0.227336767125788
"Atp6v1h" 8517.87123656219 0.158526678404521 0.0702404608296823 2.25691398564302 0.0240134499662359 0.112952658917552
"4732440D04Rik" 139.924209008203 0.350900537700586 0.45275780622799 0.775029238311769 0.438322382784119 NA
"Rb1cc1" 3526.10572091658 -0.0141292797369116 0.154474468024235 -0.0914667641690464 0.927121713856944 0.963741387605596
"Gm37108" 114.641024177583 -0.167614248506588 0.301644509946918 -0.555668155658074 0.57843772970152 NA
"ENSMUSG00000120372" 177.461952833948 -0.648557690470632 0.380648529063833 -1.70382292574647 0.0884141735858733 NA
"Pcmtd1" 3641.68208276939 0.14039062225455 0.141627230907013 0.99126856717777 0.321554457224807 0.55966438857718
"Gm36964" 82.7681760040894 -0.192956181126072 0.390592274458708 -0.494009210482914 0.621299674748457 NA
"ENSMUSG00002075967" 48.9243348305115 -0.055627004613125 0.405921663017205 -0.137038768021521 0.891000151714384 NA
"Rrs1" 5704.54953842743 0.0608585864423634 0.0745255101123171 0.816614154678628 0.414148963465689 0.643525748747941
"Vcpip1" 3365.3862260841 0.440629418758245 0.136645330429303 3.22462112224329 0.00126139484718611 0.0154432309313006
"Sgk3" 4686.83417986121 -0.00550073406188853 0.0915091677296274 -0.0601112893753004 0.952066998602734 0.977105570305294
"Snhg6" 453.876939748913 0.531575493224979 0.181852982642663 2.92310571704789 0.00346558829703866 0.0311096274435154
"Cops5" 5617.23185464193 0.0639809758416326 0.100262938838821 0.638131861908478 0.523387847409976 0.727576590320232
"Cspp1" 779.871820677934 0.323053836694899 0.342040912544476 0.944488875005243 0.344919884216364 0.582143019531641
"Arfgef1" 5571.09348508225 0.0896564446601594 0.132610620343453 0.67608796661953 0.498984796240689 0.708786025202634
"7SK" 222.66523509491 -1.48581163191129 0.450133036994951 -3.30082777711772 0.000964000370334431 0.0129677326898132
"Prex2" 34.5765362797567 -2.77625506335421 1.81967542235025 -1.52568696002305 0.127087843559967 NA
"Ncoa2" 6049.80810812341 0.0878464943072421 0.195945384608541 0.44832132424421 0.653921313041062 0.810506065383174
"Gm38376" 40.0394340785023 -1.56764896916799 1.51187535228501 -1.03689035395589 0.299786959912064 NA
"Gm38120" 34.8574292923494 -3.21060313927563 1.60771623122789 -1.99699615946749 0.0458256001948942 NA
"Gm38380" 49.8061442510318 -1.97520773220033 1.04831802738717 -1.88416843037923 0.0595421963459318 NA
"Tram1" 44794.718323781 0.345485539736845 0.0934260509057264 3.69795722271794 0.000217341503823093 0.00443845877562964
"Lactb2" 1592.0929102339 -0.0552715651553896 0.156979823299839 -0.352093434643625 0.72476819193894 0.853860129467638
"Gm5523" 45.4839856947782 -1.00524972851896 0.601423051204759 -1.67145194469227 0.0946324430779472 NA
"Gm37412" 65.9352945020038 -24.0762989110159 3.06093545267699 -7.86566697770761 NA NA
"Rpl5-ps1" 57.3148454182885 -0.193986465602278 0.42032788971323 -0.461512239253564 0.64443114239292 NA
"Terf1" 2852.21179562443 0.591179910400407 0.194100240551293 3.04574537734373 0.00232104301534213 0.0238698444254723
"Rpl7" 54260.4275082346 -0.0440407435567173 0.0816937515257254 -0.539095619116584 0.589820878283937 0.770075885561622
"Rdh10" 307.5726202974 0.746499040642623 0.308090340622486 2.42298748845662 0.0153934568340554 0.0855599732123469
"Stau2" 92.4303271736802 -0.0358730119018118 1.25702674833366 -0.0285379861242936 0.977233071811196 NA
"Ube2w" 3986.9831597125 0.324080064637532 0.10830937706649 2.99216996178073 0.00277001998984381 0.0269398549351735
"Gm38342" 27.6692373797244 -0.399646238396096 1.16966716336099 -0.341675179841527 0.732595352783982 NA
"Eloc" 5166.55770658241 0.328394556725255 0.0948951086745448 3.4606057289162 0.000538961542436759 0.00863285524922266
"Tmem70" 4388.41176656529 0.199968121607146 0.0995927569935507 2.00785807767221 0.0446583751336954 0.170197463878968
"Ly96" 222.494864202871 0.211108575454417 0.227715663147359 0.927070946884341 0.35388969949383 0.591211598937792
"Gm6075" 27.4205921040749 -0.438985279354209 0.554796784182951 -0.791254188685867 0.428795675588171 NA
"Pkhd1" 21.279241019934 -8.25815153319382 2.28014731699652 -3.62176227458483 0.000292602948693602 NA
"Il17f" 53.4640530793351 2.11443291250743 1.88980016296 1.11886587478942 0.263197363238696 NA
"Mcm3" 7048.2936422733 -0.0929542036903742 0.11484745822621 -0.809371013743174 0.418301769997555 0.646337212779855
"Paqr8" 532.399454502521 -0.181813123495073 1.1680383545313 -0.155656809375947 0.876303543226404 0.937884006891061
"Tram2" 573.853754745877 -0.0192432944854774 0.276992325591162 -0.0694723019650745 0.944613679201212 0.974248237127191
"Tmem14a" 145.805057452859 -0.351566621125315 0.334142030594811 -1.05214725755837 0.292731993262075 NA
"Gsta3" 26.5994922345545 0.230061434808688 0.959865927533531 0.239680801463443 0.810577719391442 NA
"Gm28836" 60.855461416007 -0.184183503385652 0.625858422275923 -0.294289406086239 0.768536767141977 NA
"Gm4956" 14049.9340823962 -0.295218999549923 0.0903146360697296 -3.26878358145619 0.00108010881436599 0.0139027613371602
"Gm21909" 67.2937089870268 -0.029032601398734 0.705529016243982 -0.041150116763864 0.967176221013354 NA
"Khdc1a" 72.0458117356816 -0.265488725986102 0.718623236171673 -0.369440775948802 0.7117992094488 NA
"Kcnq5" 284.337813125576 -0.13504972957784 0.409369380304345 -0.32989699785909 0.741477791998334 0.864935842836933
"Gm7658" 61.5888776186661 0.046721832608927 0.452034858753842 0.103358915145899 0.917678118415239 NA
"Ogfrl1" 118.853620221648 0.444843510246089 0.691953011507982 0.642881095750469 0.520301256776174 NA
"Smap1" 2580.50919160445 0.207107523197702 0.1066972634659 1.94107624197778 0.0522490303050577 0.188725153771186
"Sdhaf4" 1789.61107145058 -0.0359720809269289 0.126092331257003 -0.28528365340165 0.775426835427099 0.884752489625344
"Gm28437" 155.820956905022 0.0210436386023047 0.276104094250039 0.0762163221790097 0.939246997238823 NA
"Gm10925" 250.67735972699 0.772872145661693 0.297025594562342 2.60203888085974 0.00926713452330026 0.0607727651178101
"Gm28661" 30.6003678743814 0.228220294782931 0.563977715091564 0.404661901837519 0.685726050217237 NA
"Gm29216" 44.9471412273958 0.300469862479028 0.453202215031657 0.662992925703242 0.507335084859149 NA
"Lmbrd1" 6503.76687298476 0.198237767924356 0.0954988438459294 2.07581327627566 0.0379112239936821 0.152572088910799
"Gm7846" 192.103880554441 0.413304073145462 0.262106975046936 1.57685263076823 0.114829438183407 NA
"Gm5525" 27.8356997994437 -0.459517057051224 0.566519498523435 -0.811123109176118 0.417294976108081 NA
"Phf3" 4168.37920400111 0.169293736028571 0.164953676054823 1.02631078056306 0.304745117338627 0.543841738754973
"Gm37906" 19.684949475291 -0.422966387052082 1.6310521135691 -0.259321197362933 0.795387425540389 NA
"Ptp4a1" 3548.16536515789 0.268626020769269 0.105953625034581 2.53531694344195 0.0112345628532265 0.0691097924719644
"5S_rRNA" 101.173547716233 -1.39599993359161 0.55218175938375 -2.5281529312913 0.0114664393244868 NA
"Prim2" 1084.66122752161 0.252114502308625 0.189320968697025 1.33167764798462 0.182966137266363 0.402501416930632
"1700001G17Rik" 28.3911900302988 -1.60780359906071 1.02747929757427 -1.56480388739364 0.117628899983369 NA
"Rab23" 551.431176440626 0.217635962520472 0.286848590662677 0.758713724260208 0.448023825244543 0.670297656778131
"Bag2" 173.260605925891 0.65773920680824 0.368957012206046 1.78269875635518 0.0746353539092698 NA
"Zfp451" 2256.79044679487 0.218274033591261 0.212240706589925 1.02842681358479 0.303749100928284 0.542866329620617
"Gm15455" 36.4372941282064 -2.11177256026153 1.03219998144312 -2.04589478611408 NA NA
